doc-number,Caption,Committees,Sponsors,links
SB 447,"""Georgia Restaurant Franchise Relations Act""; a franchisor may not terminate a franchise except under certain circumstances; provide
Status: 02/06/2024 - Senate Read and Referred",Senate Committee:Regulated Industries and Utilities,"Robertson, Randy , 29thAlbers, John , 56thBurns, Max , 23rdSummers, Carden , 13thWilliams, Rick , 25thHarbin, Marty , 16th",https://www.legis.ga.gov/legislation/66614
SB 448,"Official Code of Georgia Annotated; revise, modernize, correct errors or omissions in, and reenact the statutory portion of said Code, as amended, in furtherance of the work of the Code Revision Commission
Status: 05/06/2024 - Senate Date Signed by Governor",House Committee:Code RevisionSenate Committee:Judiciary,"Hatchett, Bo , 50thStrickland, Brian , 17thKennedy, John F. , 18thGooch, Steve , 51st",https://www.legis.ga.gov/legislation/66618
SB 449,"Certified Nursing Aid; certain military medical personnel from an examination requirement; exempt
Status: 04/24/2024 - Senate Date Signed by Governor",House Committee:Regulated IndustriesSenate Committee:Regulated Industries and Utilities,"Walker, III, Larry , 20thKennedy, John F. , 18thAnavitarte, Jason , 31stGooch, Steve , 51stPayne, Chuck , 54thAnderson, Tonya , 43rd",https://www.legis.ga.gov/legislation/66664
SB 450,"Courts; property, and wills, trusts, and administration of estates; neither superior court nor a state court shall have appellate jurisdiction pursuant to Chapter 3 of Title 5; clarify
Status: 04/22/2024 - Senate Date Signed by Governor",House Committee:JudiciarySenate Committee:Judiciary,"Kennedy, John F. , 18thStrickland, Brian , 17thTillery, Blake , 19thGooch, Steve , 51stJones II, Harold , 22nd",https://www.legis.ga.gov/legislation/66665
SB 451,"Veteran Benefits; place certain requirement on the Department of Veterans Service
Status: 03/13/2024 - House Committee Favorably Reported By Substitute",House Committee:Defense & Veterans AffairsSenate Committee:Banking and Financial Institutions,"Islam Parkes, Nabilah , 7thPayne, Chuck , 54thAnderson, Tonya , 43rdKirkpatrick, Kay , 32ndHarbison, Ed , 15thMcLaurin, Josh , 14th",https://www.legis.ga.gov/legislation/66666
SB 452,"Banking and Finance and Property; regulations of motor vehicle title pawn transactions; provide
Status: 02/06/2024 - Senate Read and Referred",Senate Committee:Finance,"Dolezal, Greg , 27thHarbison, Ed , 15thGooch, Steve , 51stAlbers, John , 56thBeach, Brandon , 21stHickman, Billy , 4th",https://www.legis.ga.gov/legislation/66668
SB 453,"Juvenile Court of Gordon County; transfer probation and intake services to the Georgia Department of Juvenile Justice
Status: 05/06/2024 - Senate Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Payne, Chuck , 54thHufstetler, Chuck , 52nd",https://www.legis.ga.gov/legislation/66675
SB 454,"Alimony and Child Support;  guidelines for child support award calculations; provide
Status: 05/06/2024 - Senate Date Signed by Governor",House Committee:Juvenile JusticeSenate Committee:Judiciary,"Strickland, Brian , 17thJones, Emanuel , 10th",https://www.legis.ga.gov/legislation/66676
SB 455,"Medical Assistance; provisions to comply with federal law; revise
Status: 03/20/2024 - House Passed/Adopted By Substitute",House Committee:HealthSenate Committee:Health and Human Services,"Strickland, Brian , 17thKirkpatrick, Kay , 32ndWatson, Ben , 1st",https://www.legis.ga.gov/legislation/66678
SB 456,"Central Caregiver Registry; disabled persons to the registry; add
Status: 05/06/2024 - Senate Date Signed by Governor",House Committee:Public HealthSenate Committee:Health and Human Services,"Strickland, Brian , 17thKirkpatrick, Kay , 32ndWatson, Ben , 1stAlbers, John , 56thHarrell, Sally , 40thMcLaurin, Josh , 14th",https://www.legis.ga.gov/legislation/66679
SB 457,"Public Utilities and Public Transportation; a consumer utility counsel to represent consumers in matters before the Public Service Commission or other agencies; reestablish
Status: 03/05/2024 - House Second Readers",House Committee:Agriculture & Consumer AffairsSenate Committee:Regulated Industries and Utilities,"Hufstetler, Chuck , 52ndParent, Elena , 42ndSummers, Carden , 13thWilliams, Rick , 25thAnderson, Tonya , 43rd",https://www.legis.ga.gov/legislation/66682
SB 458,"Libraries; board of regents to adopt the American Library Association's Library Bill of Rights; require
Status: 02/07/2024 - Senate Read and Referred",Senate Committee:Government Oversight,"Parent, Elena , 42ndButler, Gloria , 55thJones II, Harold , 22ndHalpern, Sonya , 39thEsteves, Jason , 6thOrrock, Nan , 36th",https://www.legis.ga.gov/legislation/66685
SB 459,"""Civics Education and Portraits in Patriotism Act""; enact
Status: 02/22/2024 - Senate Read Second Time",Senate Committee:Education and Youth,"Dixon, Clint , 45thPayne, Chuck , 54thStill, Shawn , 48thBrass, Matt , 28thEchols, Shelly , 49th",https://www.legis.ga.gov/legislation/66690
SB 460,"Advanced Practice Registered Nurses and Physician Assistants; number that a physician can authorize and supervise at any one time; prov.; revise
Status: 03/05/2024 - House Second Readers",House Committee:Regulated IndustriesSenate Committee:Health and Human Services,"Dixon, Clint , 45thWatson, Ben , 1stKirkpatrick, Kay , 32ndHufstetler, Chuck , 52ndStill, Shawn , 48th",https://www.legis.ga.gov/legislation/66702
SB 461,"State Senatorial Districts; six district numbers without changing any district boundaries; redesignate
Status: 02/07/2024 - Senate Read and Referred",Senate Committee:Reapportionment and Redistricting,"Esteves, Jason , 6thDavenport, Gail , 44thParent, Elena , 42ndBrass, Matt , 28thJames, Donzella , 35th",https://www.legis.ga.gov/legislation/66704
SB 462,"""Defend the Guard Act""; enact
Status: 02/16/2024 - Senate Read Second Time",Senate Committee:Interstate Cooperation,"Moore, Colton , 53rd",https://www.legis.ga.gov/legislation/66713
SB 463,"Retirement and Pensions; Peach Save plan; creation
Status: 02/07/2024 - Senate Withdrawn Bill/Res Consideration",Senate Committee:Retirement,"Hufstetler, Chuck , 52ndAlbers, John , 56thWilliams, Rick , 25thHalpern, Sonya , 39thAnavitarte, Jason , 31st",https://www.legis.ga.gov/legislation/66753
SB 464,"School Supplies for Teachers Program; establish
Status: 04/23/2024 - Senate Date Signed by Governor",House Committee:EducationSenate Committee:Education and Youth,"Dixon, Clint , 45thPayne, Chuck , 54thStill, Shawn , 48thEchols, Shelly , 49thAnavitarte, Jason , 31stBrass, Matt , 28th",https://www.legis.ga.gov/legislation/66770
SB 465,"Homicide; the felony offense of aggravated involuntary manslaughter; provide
Status: 04/30/2024 - Senate Date Signed by Governor",House Committee:Judiciary Non-CivilSenate Committee:Judiciary,"Goodman, Russ , 8thHatchett, Bo , 50thTillery, Blake , 19thWalker, III, Larry , 20thAnderson, Lee , 24thRobertson, Randy , 29th",https://www.legis.ga.gov/legislation/66769
SB 466,"Obscenity and Related Offenses; limitations of defense that a sexually exploitive visual medium is digitally altered; provide
Status: 02/26/2024 - Senate Read Second Time",Senate Committee:Judiciary,"Hatchett, Bo , 50thPayne, Chuck , 54thStill, Shawn , 48thEchols, Shelly , 49thHarbin, Marty , 16thKirkpatrick, Kay , 32nd",https://www.legis.ga.gov/legislation/66803
SB 467,"Baldwin County; board of elections and registration; create
Status: 02/26/2024 - House Passed/Adopted By Substitute",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Williams, Rick , 25th",https://www.legis.ga.gov/legislation/66804
SB 468,"Baldwin County; staggered terms for the board of commissioners; provide
Status: 03/19/2024 - Senate Date Signed by Governor",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Williams, Rick , 25th",https://www.legis.ga.gov/legislation/66805
SB 469,"""College Success 529 Expansion Act""; enact
Status: 03/28/2024 - House Disagreed Senate Amend or Sub",House Committee:Higher EducationSenate Committee:Higher Education,"Esteves, Jason , 6thHufstetler, Chuck , 52ndButler, Gloria , 55thGooch, Steve , 51stParent, Elena , 42ndAlbers, John , 56th",https://www.legis.ga.gov/legislation/66806
SB 470,"Proceedings Against Intruders; notice of vacancy; create
Status: 02/20/2024 - Senate Read Second Time",Senate Committee:Public Safety,"Setzler, Ed , 37thAlbers, John , 56thKirkpatrick, Kay , 32ndHalpern, Sonya , 39th",https://www.legis.ga.gov/legislation/66807
SB 471,"Professions and Businesses; certain licenses and certificates issued by certain professional licensing boards; change the expiration and renewal dates
Status: 02/20/2024 - Senate Read Second Time",Senate Committee:Regulated Industries and Utilities,"Williams, Rick , 25thAnderson, Lee , 24thWalker, III, Larry , 20thPayne, Chuck , 54thBeach, Brandon , 21st",https://www.legis.ga.gov/legislation/66828
SB 472,"""Combating Organized Retail Crime Act""; enact
Status: 05/06/2024 - Senate Date Signed by Governor",House Committee:Agriculture & Consumer AffairsSenate Committee:Public Safety,"Albers, John , 56thGooch, Steve , 51stStrickland, Brian , 17thEsteves, Jason , 6thBrass, Matt , 28thHatchett, Bo , 50th",https://www.legis.ga.gov/legislation/66829
SB 473,"""Georgia Consumer Privacy Protection Act""; consumer personal data in this state; protect the privacy
Status: 03/20/2024 - House Committee Favorably Reported By Substitute",House Committee:Technology and Infrastructure InnovationSenate Committee:Science and Technology,"Albers, John , 56thRobertson, Randy , 29thAnavitarte, Jason , 31stStrickland, Brian , 17thGoodman, Russ , 8thStill, Shawn , 48th",https://www.legis.ga.gov/legislation/66835
SB 474,"Unsolicited Inquiries; notices of solicitation including monetary offers; penalty; provide
Status: 02/29/2024 - Senate Tabled",Senate Committee:Judiciary,"Goodman, Russ , 8thWatson, Sam , 11thStrickland, Brian , 17thWalker, III, Larry , 20thParent, Elena , 42ndRhett, Michael 'Doc' , 33rd",https://www.legis.ga.gov/legislation/66836
SB 475,"Labor and Industrial Relations; provisions relating to the disposition of fines, penalties; change
Status: 02/21/2024 - Senate Read Second Time",Senate Committee:Appropriations,"Hufstetler, Chuck , 52ndStill, Shawn , 48th",https://www.legis.ga.gov/legislation/66845
SB 476,"Education; in-state tuition for certain noncitizen students; provide
Status: 02/09/2024 - Senate Read and Referred",Senate Committee:Higher Education,"Esteves, Jason , 6thIslam Parkes, Nabilah , 7thMerritt, Nikki , 9thRahman, Sheikh , 5thParent, Elena , 42ndButler, Gloria , 55th",https://www.legis.ga.gov/legislation/66844
SB 477,"Retirement and Pensions; creation of the Peach Save plan, a defined contribution retirement plan; provide
Status: 02/09/2024 - Senate Read and Referred",Senate Committee:Retirement,"Hufstetler, Chuck , 52ndWilliams, Rick , 25thHalpern, Sonya , 39thAlbers, John , 56thAnavitarte, Jason , 31stJames, Donzella , 35th",https://www.legis.ga.gov/legislation/66846
SB 478,"""Freedom to Drive Act""; enact
Status: 02/09/2024 - Senate Read and Referred",Senate Committee:Public Safety,"Islam Parkes, Nabilah , 7thEsteves, Jason , 6thButler, Gloria , 55thRahman, Sheikh , 5thMerritt, Nikki , 9th",https://www.legis.ga.gov/legislation/66878
SB 479,"Secondary Metals Recyclers; applicability of the definition of the term ""used, detached catalytic converters"" to said article; provide
Status: 03/28/2024 - Senate Disagreed House Amend or Sub",House Committee:Agriculture & Consumer AffairsSenate Committee:Regulated Industries and Utilities,"Hatchett, Bo , 50thHufstetler, Chuck , 52ndBurns, Max , 23rdStrickland, Brian , 17th",https://www.legis.ga.gov/legislation/66879
SB 480,"Georgia Board of Health Care Workforce; student loan repayment for mental health and substance use professionals serving in certain capacities; provide
Status: 04/19/2024 - Senate Date Signed by Governor",House Committee:Public HealthSenate Committee:Health and Human Services,"Hodges, Mike , 3rdKirkpatrick, Kay , 32ndWatson, Ben , 1stHufstetler, Chuck , 52ndSummers, Carden , 13thEchols, Shelly , 49th",https://www.legis.ga.gov/legislation/66883
SB 481,"Georgia Health Care Professionals Data System; establishment; definitions; collaboration with state licensing boards; provide
Status: 02/26/2024 - Senate Read Second Time",Senate Committee:Health and Human Services,"Hodges, Mike , 3rdKirkpatrick, Kay , 32ndWatson, Ben , 1stHufstetler, Chuck , 52ndSummers, Carden , 13thEchols, Shelly , 49th",https://www.legis.ga.gov/legislation/66882
SB 482,"Sumter County; board of education and school superintendent; compensation of said board; revise
Status: 02/26/2024 - House Second Readers",House Committee:Intragovernmental CoordinationSenate Committee:State and Local Governmental Operations,"Sims, Freddie Powell , 12thGoodman, Russ , 8thEsteves, Jason , 6thButler, Gloria , 55thParent, Elena , 42nd",https://www.legis.ga.gov/legislation/66884
SB 483,"Minors; enter into the Interstate Compact for the Placement of Children; definitions; provisions; provide
Status: 04/22/2024 - Senate Date Signed by Governor",House Committee:Juvenile JusticeSenate Committee:Children and Families,"Hatchett, Bo , 50thKirkpatrick, Kay , 32ndTillery, Blake , 19th",https://www.legis.ga.gov/legislation/66890
SB 484,"State's Employee Benefit Plan Council; establish health savings accounts and continually provide for education or salary reductions for such accounts; require
Status: 02/29/2024 - Senate Tabled",Senate Committee:Insurance and Labor,"Esteves, Jason , 6thWalker, III, Larry , 20thJones, Emanuel , 10thGoodman, Russ , 8thJones II, Harold , 22ndJackson, Kim , 41st",https://www.legis.ga.gov/legislation/66893
SB 485,"Trial upon Accusation; certain offenses be charged by accusation of the district attorney; allow
Status: 02/12/2024 - Senate Read and Referred",Senate Committee:Judiciary,"Jones II, Harold , 22ndParent, Elena , 42ndAnderson, Tonya , 43rd",https://www.legis.ga.gov/legislation/66919
SB 486,"Funeral Directors and Estabishments; funeral directors be licensed embalmers; remove the requirement
Status: 02/13/2024 - Senate Read and Referred",Senate Committee:Regulated Industries and Utilities,"Williams, Rick , 25thMallow, Derek , 2ndRobertson, Randy , 29thWalker, III, Larry , 20thEsteves, Jason , 6th",https://www.legis.ga.gov/legislation/66933
